Primary Type,Subtype
City,AdministrativeDivision
City,AircraftManufacturer
City,Airport
City,AirportOperator
City,AwardWinner
City,BodyOfWater
City,Broadcast
City,Building
City,ChineseAutonomousCounty
City,CityTown
City,CollegeUniversity
City,Company
City,Country
City,Cuisine
City,Dedicatee
City,Disease
City,DutchMunicipality
City,EnglishCivilParish
City,EnglishMetropolitanBorough
City,Facility
City,FictionalUniverse
City,FilmScreeningVenue
City,FootballTeam
City,FrenchDepartment
City,GeographicFeature
City,GermanState
City,GermanUrbanDistrict
City,GovernmentalJurisdiction
City,HumanLanguage
City,IndianCity
City,IndonesianCity
City,Island
City,ItalianComune
City,JapaneseDesignatedCity
City,JapanesePrefecture
City,Kingdom
City,Lake
City,Location
City,MilitaryConflict
City,MilitaryPost
City,Mountain
City,Museum
City,MusicalArtist
City,Neighborhood
City,OlympicBiddingCity
City,OlympicHostCity
City,Organization
City,Person
City,PlaceOfWorship
City,PlaceWithNeighborhoods
City,PoliticalDistrict
City,RadioStation
City,RecordProducer
City,Region
City,River
City,School
City,SchoolDistrict
City,ScottishCouncilArea
City,SoccerClub
City,SportsTeam
City,TouristAttraction
City,USCounty
City,USIndianReservation
City,VietnameseProvincialCities
City,Waterfall
City,WineRegion
Company,Accommodation
Company,AdministrativeDivision
Company,AircraftManufacturer
Company,Airline
Company,Airport
Company,AwardNominee
Company,AwardPresentingOrganization
Company,AwardWinner
Company,BasketballConference
Company,BodyOfWater
Company,Brand
Company,Bridge
Company,Broadcast
Company,BroadcastArtist
Company,BroadcastContent
Company,BroadcastDistributor
Company,Building
Company,Cemetery
Company,CityTown
Company,CollegeUniversity
Company,Company
Company,CompanyDivision
Company,CompanyFounder
Company,Composer
Company,ConductedEnsemble
Company,Dedicatee
Company,DrinkingEstablishment
Company,Facility
Company,FashionDesigner
Company,FashionLabel
Company,Film
Company,FilmCinematographer
Company,FilmCompany
Company,FilmCostumerDesigner
Company,FilmDirector
Company,FilmDistributor
Company,FilmFestival
Company,FilmProducer
Company,GeographicFeature
Company,HallOfFame
Company,HistoricPlace
Company,Hospital
Company,House
Company,Inventor
Company,Island
Company,Lake
Company,Location
Company,Magazine
Company,MembershipOrganization
Company,Mountain
Company,Museum
Company,MusicalAlbum
Company,MusicalArtist
Company,MusicalGroup
Company,MusicalInstrumentCompany
Company,Newspaper
Company,OperaCompany
Company,Orchestra
Company,Organization
Company,PeriodicalPublisher
Company,Person
Company,PlaceOfWorship
Company,ProductionCompany
Company,PublicLibrary
Company,RadioNetwork
Company,RadioStation
Company,RecordLabel
Company,RecordProducer
Company,RecurringEvent
Company,River
Company,Road
Company,School
Company,ShoppingCenter
Company,SportsFacility
Company,SportsTeam
Company,Stadium
Company,Station
Company,TelevisionShow
Company,TelevisionStation
Company,Theater
Company,TouristAttraction
Company,TVChannel
Company,TVNetwork
Company,TVProducer
Company,TVWriter
Company,University
Company,VentureFundedCompany
Company,VideoGameDesigner
Company,VideoGameDeveloper
Company,VideoGameEngineDeveloper
Company,VideoGamePublisher
Company,Website
Company,WineProducer
Country,AdministrativeDivision
Country,BoardMember
Country,BodyOfWater
Country,Building
Country,CityTown
Country,Country
Country,Cuisine
Country,Facility
Country,Family
Country,FrenchDepartment
Country,FrenchRegion
Country,GeographicFeature
Country,GovernmentalJurisdiction
Country,HumanLanguage
Country,Island
Country,IslandGroup
Country,Kingdom
Country,Location
Country,Monastery
Country,Mountain
Country,NobleTitle
Country,PoliticalDistrict
Country,Region
Country,RoyalLine
Country,UKOverseasTerritory
EntertainmentAward,Award
EntertainmentAward,RecurringEvent
GeographicFeature,AdministrativeDivision
GeographicFeature,Airport
GeographicFeature,ArchitecturalContractor
GeographicFeature,BoardMember
GeographicFeature,BodyOfWater
GeographicFeature,Bridge
GeographicFeature,Broadcast
GeographicFeature,Building
GeographicFeature,CityTown
GeographicFeature,Country
GeographicFeature,Facility
GeographicFeature,GeographicFeature
GeographicFeature,GovernmentalJurisdiction
GeographicFeature,HistoricPlace
GeographicFeature,House
GeographicFeature,IndonesianCity
GeographicFeature,Island
GeographicFeature,IslandGroup
GeographicFeature,Lake
GeographicFeature,Lighthouse
GeographicFeature,Location
GeographicFeature,Mountain
GeographicFeature,MountainPass
GeographicFeature,Museum
GeographicFeature,OlympicVenue
GeographicFeature,Park
GeographicFeature,ProjectParticipant
GeographicFeature,RadioStation
GeographicFeature,River
GeographicFeature,Skyscraper
GeographicFeature,SportsFacility
GeographicFeature,Stadium
GeographicFeature,TouristAttraction
GeographicFeature,Waterfall
HealthCondition,DiseaseCause
HealthCondition,MusicalArtist
HealthCondition,MusicalGroup
Movie,Actor
Movie,Award
Movie,AwardNominee
Movie,AwardWinner
Movie,Book
Movie,Broadcast
Movie,BroadcastContent
Movie,Celebrity
Movie,Company
Movie,Composition
Movie,ConcertFilm
Movie,Film
Movie,FilmActor
Movie,FilmCompany
Movie,FilmDistributor
Movie,FilmEditor
Movie,FilmFestival
Movie,FilmProducer
Movie,FilmSeries
Movie,MusicalAlbum
Movie,MusicalArtist
Movie,MusicalGroup
Movie,Organization
Movie,Person
Movie,Play
Movie,ProductionCompany
Movie,PublishedWork
Movie,RecurringEvent
Movie,TelevisionShow
Movie,TVActor
Movie,TVEpisode
Movie,TVProducer
Movie,WorkOfFiction
MusicalGroup,Actor
MusicalGroup,BroadcastArtist
MusicalGroup,Building
MusicalGroup,DisasterSurvivor
MusicalGroup,DisasterVictim
MusicalGroup,Facility
MusicalGroup,FilmActor
MusicalGroup,FilmDirector
MusicalGroup,FilmMusicContributor
MusicalGroup,Guitarist
MusicalGroup,HallOfFameInductee
MusicalGroup,Location
MusicalGroup,MilitaryPerson
MusicalGroup,MusicalArtist
MusicalGroup,MusicalGroup
MusicalGroup,MusicalGroupMember
MusicalGroup,OperaCompany
MusicalGroup,Orchestra
MusicalGroup,Person
MusicalGroup,RecordProducer
MusicalGroup,TVActor
NaturalDisaster,Accommodation
NaturalDisaster,AdministrativeDivision
NaturalDisaster,Airline
NaturalDisaster,Airport
NaturalDisaster,BodyOfWater
NaturalDisaster,Bridge
NaturalDisaster,BroadcastArtist
NaturalDisaster,Building
NaturalDisaster,BuildingComplex
NaturalDisaster,CauseOfDeath
NaturalDisaster,CityTown
NaturalDisaster,Company
NaturalDisaster,Disease
NaturalDisaster,DiseaseOrMedicalCondition
NaturalDisaster,EnglishCivilParish
NaturalDisaster,Facility
NaturalDisaster,Film
NaturalDisaster,GeographicFeature
NaturalDisaster,GovernmentalJurisdiction
NaturalDisaster,HistoricPlace
NaturalDisaster,House
NaturalDisaster,InfectiousDisease
NaturalDisaster,Lake
NaturalDisaster,Location
NaturalDisaster,MilitaryUnit
NaturalDisaster,Monastery
NaturalDisaster,Mountain
NaturalDisaster,Museum
NaturalDisaster,MusicalArtist
NaturalDisaster,MusicalGroup
NaturalDisaster,MusicalGroupMember
NaturalDisaster,Organization
NaturalDisaster,PerformanceVenue
NaturalDisaster,Region
NaturalDisaster,River
NaturalDisaster,Skyscraper
NaturalDisaster,SportsFacility
NaturalDisaster,SportsTeam
NaturalDisaster,Stadium
NaturalDisaster,Station
NaturalDisaster,TouristAttraction
Organization,Academic
Organization,AcademicInstitution
Organization,Accommodation
Organization,Actor
Organization,AdministrativeDivision
Organization,AircraftDesigner
Organization,AircraftManufacturer
Organization,Airline
Organization,Airport
Organization,AirportOperator
Organization,AmericanIndianGroup
Organization,Appellation
Organization,Appointer
Organization,Architect
Organization,ArchitecturalContractor
Organization,ArchitectureFirm
Organization,ArmedForce
Organization,Astronaut
Organization,Astronomer
Organization,AstronomicalObservatory
Organization,Athlete
Organization,AutomobileCompany
Organization,AutomobileModel
Organization,AutomotiveDesigner
Organization,Award
Organization,AwardDiscipline
Organization,AwardJudge
Organization,AwardNominee
Organization,AwardPresentingOrganization
Organization,AwardWinner
Organization,BasketballConference
Organization,BasketballPlayer
Organization,Bassist
Organization,Beer
Organization,Beverage
Organization,BicycleManufacturer
Organization,Blog
Organization,Blogger
Organization,BoardMember
Organization,BoardMemberTitle
Organization,BodyOfWater
Organization,Book
Organization,Boxer
Organization,Brand
Organization,Bridge
Organization,Broadcast
Organization,BroadcastArtist
Organization,BroadcastContent
Organization,BroadcastDistributor
Organization,Building
Organization,BuildingComplex
Organization,CandyBarManufacturer
Organization,CauseOfDeath
Organization,Celebrity
Organization,Cemetery
Organization,CharacterOccupation
Organization,CharacterSpecies
Organization,Cheese
Organization,ChemicalCompound
Organization,ChivalricOrderMember
Organization,CityTown
Organization,Club
Organization,Collector
Organization,College
Organization,CollegeUniversity
Organization,Comedian
Organization,ComicBookCreator
Organization,ComicBookEditor
Organization,ComicBookFictionalUniverse
Organization,ComicBookPenciler
Organization,ComicBookPublisher
Organization,ComicBookSeries
Organization,ComicBookWriter
Organization,ComicStripArtist
Organization,ComicStripSyndicate
Organization,Company
Organization,CompanyAdvisor
Organization,CompanyDivision
Organization,CompanyFounder
Organization,CompanyShareholder
Organization,CompetitiveSpace
Organization,Composer
Organization,Composition
Organization,ComputerDesigner
Organization,ComputerPeripheral
Organization,ComputerScientist
Organization,ComputingPlatform
Organization,ConcertTour
Organization,ConductedEnsemble
Organization,Conductor
Organization,ConferenceSeries
Organization,ConsumerProduct
Organization,Country
Organization,CricketAdministrativeBody
Organization,CricketTeam
Organization,Criminal
Organization,CriminalOffense
Organization,Cuisine
Organization,Dedicatee
Organization,Dedicator
Organization,DietFollower
Organization,DisasterSurvivor
Organization,DisasterVictim
Organization,Disease
Organization,DiseaseCause
Organization,DiseaseOrMedicalCondition
Organization,Dish
Organization,Distillery
Organization,DrinkingEstablishment
Organization,Drummer
Organization,EndorsedProduct
Organization,Engine
Organization,Engineer
Organization,EngineeringFirm
Organization,Facility
Organization,Family
Organization,FashionDesigner
Organization,FashionLabel
Organization,FictionalUniverse
Organization,FictionalUniverseCreator
Organization,FieldOfStudy
Organization,FileFormat
Organization,Film
Organization,FilmActor
Organization,FilmArtDirector
Organization,FilmCharacter
Organization,FilmCinematographer
Organization,FilmCompany
Organization,FilmCostumerDesigner
Organization,FilmCrewmember
Organization,FilmCritic
Organization,FilmDirector
Organization,FilmDistributor
Organization,FilmEditor
Organization,FilmFestival
Organization,FilmFestivalFocus
Organization,FilmMusicContributor
Organization,FilmProducer
Organization,FilmProductionDesigner
Organization,FilmScreeningVenue
Organization,FilmTheorist
Organization,FilmWriter
Organization,FootballLeague
Organization,FootballOrganization
Organization,FootballPlayer
Organization,FootballTeam
Organization,FoundingFigure
Organization,FrenchDepartment
Organization,FrenchRegion
Organization,Game
Organization,GameDesigner
Organization,GamePublisher
Organization,GeographicFeature
Organization,Golfer
Organization,GovernmentAgency
Organization,GovernmentalBody
Organization,GovernmentalJurisdiction
Organization,GovernmentOfficeOrTitle
Organization,Governor
Organization,Guitar
Organization,Guitarist
Organization,HallOfFame
Organization,HallOfFameInductee
Organization,HistoricPlace
Organization,Hobbyist
Organization,HockeyConference
Organization,HockeyTeam
Organization,HonoraryDegreeRecipient
Organization,Hospital
Organization,House
Organization,HumanLanguage
Organization,Illustrator
Organization,Industry
Organization,InfectiousDisease
Organization,Invention
Organization,Inventor
Organization,Island
Organization,IslandGroup
Organization,ItalianRegion
Organization,JobTitle
Organization,Journal
Organization,Kingdom
Organization,Lake
Organization,LandscapeProject
Organization,LanguageCreator
Organization,LanguageWritingSystem
Organization,Location
Organization,Lyricist
Organization,Magazine
Organization,ManufacturingPlant
Organization,MartialArt
Organization,MartialArtist
Organization,MedicalSpecialty
Organization,MedicalTreatment
Organization,MemberOfParliament
Organization,MembershipOrganization
Organization,MeteorologicalService
Organization,MilitaryCommander
Organization,MilitaryPerson
Organization,MilitaryPost
Organization,MilitaryUnit
Organization,Monarch
Organization,Monastery
Organization,Mountain
Organization,Mountaineer
Organization,MountainRange
Organization,Museum
Organization,MusicalAlbum
Organization,MusicalArtist
Organization,MusicalGameSong
Organization,MusicalGroup
Organization,MusicalGroupMember
Organization,MusicalInstrumentCompany
Organization,MusicalPerformanceRole
Organization,MusicalTrack
Organization,MusicFestival
Organization,NaturalOrCulturalPreservationAgency
Organization,Newspaper
Organization,NoblePerson
Organization,Non-ProfitOrganisation
Organization,OfficeHolder
Organization,OlympicAthlete
Organization,OlympicEvent
Organization,OperaCharacter
Organization,OperaCompany
Organization,OperaHouse
Organization,OperaSinger
Organization,OperatingSystemDeveloper
Organization,Orchestra
Organization,Organization
Organization,OrganizationSector
Organization,Park
Organization,PerformanceVenue
Organization,PeriodicalEditor
Organization,PeriodicalPublisher
Organization,Person
Organization,Philosopher
Organization,Physician
Organization,PlaceOfWorship
Organization,PoliticalAppointer
Organization,PoliticalDistrict
Organization,PoliticalParty
Organization,Politician
Organization,President
Organization,ProcessorManufacturer
Organization,ProductionCompany
Organization,Profession
Organization,ProfessionalSportsTeam
Organization,ProgrammingLanguageDesigner
Organization,ProgrammingLanguageDeveloper
Organization,ProjectParticipant
Organization,ProtectedArea
Organization,Protocol
Organization,ProtocolProvider
Organization,PublicLibrary
Organization,PublishedWork
Organization,RadioNetwork
Organization,RadioStation
Organization,Rank
Organization,RecordingEngineer
Organization,RecordLabel
Organization,RecordProducer
Organization,RecurringCompetition
Organization,RecurringEvent
Organization,Region
Organization,Religion
Organization,ReligiousLeader
Organization,ReligiousOrder
Organization,ReligiousOrganization
Organization,ReportIssuingInstitution
Organization,RiskFactor
Organization,River
Organization,Road
Organization,RocketEngineDesigner
Organization,RocketManufacturer
Organization,Saint
Organization,Satellite
Organization,School
Organization,SchoolDistrict
Organization,SchoolFounder
Organization,SchoolNewspaper
Organization,SchoolSportsTeam
Organization,Scientist
Organization,Senator
Organization,ShipBuilder
Organization,ShipDesigner
Organization,ShoppingCenter
Organization,SkiArea
Organization,Skyscraper
Organization,SoccerClub
Organization,Software
Organization,SoftwareDeveloper
Organization,SoftwareLicense
Organization,Songwriter
Organization,Soundtrack
Organization,SpaceAgency
Organization,SpacecraftManufacturer
Organization,Spaceport
Organization,Sport
Organization,SportsAssociation
Organization,SportsFacility
Organization,SportsLeagueAwardWinner
Organization,SportsTeam
Organization,Stadium
Organization,Station
Organization,StudentOrganization
Organization,Supercouple
Organization,Surgeon
Organization,Symptom
Organization,TelevisionShow
Organization,TelevisionStation
Organization,Theater
Organization,TheaterActor
Organization,TheaterCharacter
Organization,TheaterProduction
Organization,TheatricalComposer
Organization,TheatricalLyricist
Organization,TopLevelDomainRegistry
Organization,TouristAttraction
Organization,TradeUnion
Organization,TransitLine
Organization,TransportOperator
Organization,TransportTerminus
Organization,TVActor
Organization,TVChannel
Organization,TVCharacter
Organization,TVDirector
Organization,TVEpisode
Organization,TVNetwork
Organization,TVPersonality
Organization,TVProducer
Organization,TVWriter
Organization,UKOverseasTerritory
Organization,University
Organization,U.S.Congressperson
Organization,USPresident
Organization,USTerritory
Organization,USVicePresident
Organization,VentureFundedCompany
Organization,VideoGame
Organization,VideoGameActor
Organization,VideoGameDesigner
Organization,VideoGameDeveloper
Organization,VideoGameEngine
Organization,VideoGameEngineDeveloper
Organization,VideoGamePlatform
Organization,VideoGamePublisher
Organization,VisualArtist
Organization,Website
Organization,WineProducer
Organization,WineRegion
Organization,WorkOfFiction
Organization,Wrestler
Organization,Writer
Person,Academic
Person,Actor
Person,Adherents
Person,AircraftDesigner
Person,AircraftManufacturer
Person,Airport
Person,Appointee
Person,Appointer
Person,Architect
Person,ArchitecturalContractor
Person,ArchitectureFirm
Person,ArchitectureFirmPartner
Person,Astronaut
Person,Astronomer
Person,Athlete
Person,AutomotiveDesigner
Person,AwardJudge
Person,AwardNominee
Person,AwardPresentingOrganization
Person,AwardWinner
Person,BasketballCoach
Person,BasketballPlayer
Person,Bassist
Person,Blogger
Person,BoardMember
Person,Book
Person,Boxer
Person,Brand
Person,BritishRoyalty
Person,Broadcast
Person,BroadcastArtist
Person,BroadcastContent
Person,Cardinal
Person,Celebrity
Person,Chancellor
Person,Chef
Person,ChivalricOrderFounder
Person,ChivalricOrderMember
Person,ChivalricOrderOfficer
Person,ChristianBishop
Person,CityTown
Person,Collector
Person,CollegeCoach
Person,CollegeUniversity
Person,Comedian
Person,ComicBookCreator
Person,ComicBookEditor
Person,ComicBookInker
Person,ComicBookLetterer
Person,ComicBookPenciler
Person,ComicBookWriter
Person,ComicStripArtist
Person,Company
Person,CompanyAdvisor
Person,CompanyFounder
Person,CompanyShareholder
Person,Composer
Person,Composition
Person,ComputerDesigner
Person,ComputerScientist
Person,ConcertTour
Person,Conductor
Person,CreativeWork
Person,CricketBowler
Person,CricketCoach
Person,CricketPlayer
Person,Criminal
Person,CulinaryTool
Person,Cyclist
Person,Dedicatee
Person,Dedicator
Person,Deity
Person,DietFollower
Person,DisasterSurvivor
Person,DisasterVictim
Person,Drummer
Person,ElectionCampaign
Person,ElementDiscoverer
Person,Engineer
Person,FashionDesigner
Person,FashionLabel
Person,FictionalUniverse
Person,FictionalUniverseCreator
Person,FieldOfStudy
Person,Film
Person,FilmActor
Person,FilmArtDirector
Person,FilmCastingDirector
Person,FilmCharacter
Person,FilmCinematographer
Person,FilmCostumerDesigner
Person,FilmCrewmember
Person,FilmCritic
Person,FilmDirector
Person,FilmEditor
Person,FilmMusicContributor
Person,FilmProducer
Person,FilmProductionDesigner
Person,FilmSetDesigner
Person,FilmTheorist
Person,FilmWriter
Person,FootballCoach
Person,FootballManager
Person,FootballPlayer
Person,FoundingFigure
Person,GameDesigner
Person,Golfer
Person,Governor
Person,Guitarist
Person,HallOfFameInductee
Person,HistoricPlace
Person,Hobbyist
Person,HockeyCoach
Person,HockeyPlayer
Person,Holiday
Person,HonoraryDegreeRecipient
Person,Illustrator
Person,Inventor
Person,Journalist
Person,Judge
Person,LandscapeArchitect
Person,LanguageCreator
Person,Location
Person,Lyricist
Person,Magazine
Person,MartialArt
Person,MartialArtist
Person,Mayor
Person,MedicalSpecialty
Person,MemberOfParliament
Person,MembershipOrganization
Person,MilitaryCommander
Person,MilitaryPerson
Person,MilitaryUnit
Person,Model
Person,Monarch
Person,Mountaineer
Person,MusicalAlbum
Person,MusicalArtist
Person,MusicalGroup
Person,MusicalGroupMember
Person,MusicalInstrumentCompany
Person,MusicalPerformanceRole
Person,MusicalRelease
Person,MusicalTrack
Person,NoblePerson
Person,NobleTitle
Person,Non-ProfitOrganisation
Person,OfficeHolder
Person,OlympicAthlete
Person,OperaCharacter
Person,OperaDirector
Person,OperaSinger
Person,OperatingSystemDeveloper
Person,Orchestra
Person,OrganismClassification
Person,Organization
Person,PeriodicalEditor
Person,PeriodicalPublisher
Person,Person
Person,Philosopher
Person,Physician
Person,PoliticalAppointer
Person,PoliticalParty
Person,Politician
Person,President
Person,ProductionCompany
Person,Profession
Person,ProfessionalField
Person,ProgrammingLanguage
Person,ProgrammingLanguageDesigner
Person,ProgrammingLanguageDeveloper
Person,ProjectParticipant
Person,PublishedWork
Person,RadioStation
Person,Rank
Person,RecordingEngineer
Person,RecordLabel
Person,RecordProducer
Person,ReligiousLeader
Person,RugbyPlayer
Person,Saint
Person,School
Person,SchoolFounder
Person,SchoolMascot
Person,Scientist
Person,Senator
Person,ShipBuilder
Person,ShipDesigner
Person,SoftwareDeveloper
Person,Songwriter
Person,Soundtrack
Person,SportsLeagueAwardWinner
Person,SportsOfficial
Person,SportsTeam
Person,Surgeon
Person,TelevisionShow
Person,TennisPlayer
Person,TennisTournamentChampion
Person,TheaterActor
Person,TheaterCharacter
Person,TheaterChoreographer
Person,TheaterDesigner
Person,TheaterDirector
Person,TheaterProducer
Person,TheatricalComposer
Person,TheatricalLyricist
Person,TouristAttraction
Person,TVActor
Person,TVCharacter
Person,TVCrewmember
Person,TVDirector
Person,TVNetwork
Person,TVPersonality
Person,TVProducer
Person,TVThemeSong
Person,TVWriter
Person,U.S.Congressperson
Person,USPresident
Person,USVicePresident
Person,VaccineDeveloper
Person,VideoGameActor
Person,VideoGameDesigner
Person,VideoGameDeveloper
Person,VideoGameEngineDeveloper
Person,VideoGamePublisher
Person,VisualArtist
Person,Wrestler
Person,Writer
PrintMedia,Journal
PrintMedia,Magazine
PrintMedia,TVNetwork
RadioProgram,AwardWinner
RadioProgram,Blog
RadioProgram,Broadcast
RadioProgram,BroadcastArtist
RadioProgram,BroadcastContent
RadioProgram,Building
RadioProgram,ConductedEnsemble
RadioProgram,Facility
RadioProgram,Film
RadioProgram,Game
RadioProgram,HallOfFameInductee
RadioProgram,Location
RadioProgram,MusicalArtist
RadioProgram,MusicalGroup
RadioProgram,Orchestra
RadioProgram,Person
RadioProgram,RadioProgram
RadioProgram,RadioStation
RadioProgram,TelevisionShow
RadioProgram,TVActor
RadioProgram,TVEpisode
Region,AdministrativeDivision
Region,BodyOfWater
Region,Brand
Region,CityTown
Region,CompanyDivision
Region,CompanyShareholder
Region,Country
Region,Cuisine
Region,GeographicFeature
Region,GovernmentalJurisdiction
Region,HumanLanguage
Region,Island
Region,IslandGroup
Region,Kingdom
Region,Location
Region,MilitaryPost
Region,MountainRange
Region,Organization
Region,PoliticalDistrict
Region,Region
Region,USCounty
Region,USState
Sport,Location
Sport,Sport
Sport,TouristAttraction
TelevisionShow,MusicalArtist
TelevisionShow,MusicalGroup
TelevisionShow,MusicalGroupMember
TelevisionShow,Person
TelevisionShow,RecordProducer
TelevisionShow,TelevisionShow
TelevisionStation,AdministrativeDivision
TelevisionStation,AwardWinner
TelevisionStation,Broadcast
TelevisionStation,BroadcastArtist
TelevisionStation,CityTown
TelevisionStation,CompanyDivision
TelevisionStation,Composer
TelevisionStation,Film
TelevisionStation,GeographicFeature
TelevisionStation,HistoricPlace
TelevisionStation,Island
TelevisionStation,Location
TelevisionStation,MusicalArtist
TelevisionStation,MusicalGroup
TelevisionStation,Organization
TelevisionStation,Person
TelevisionStation,RadioStation
TelevisionStation,TelevisionShow
TelevisionStation,TVNetwork
TelevisionStation,TVProducer
